"","logFC","logCPM","PValue","FDR"
"HWER_07476",-16.5142597251619,6.6246949308872,3.80291866738333e-224,1.00092819325529e-220
"HWER_11243",8.204458578384,7.32244184079896,4.3971505263941e-147,5.78665009273463e-144
"HWER_08766",-4.6382575775845,7.20921241033967,8.59549617014346e-134,7.54111530660586e-131
"HWER_09235",-5.70745204216004,7.88294811566933,3.72629269784227e-124,2.45190059518021e-121
"HWER_12698",4.85170566463235,6.98201465903734,1.84161366594731e-123,9.69425433754664e-121
"HWER_03428",-5.02980218871199,7.10003970040366,1.20593651775883e-118,5.29004152456874e-116
"HWER_08072",-5.83752581908978,8.92362146525944,1.40775490863554e-114,5.29315845646963e-112
"HWER_04805",6.40968252785525,8.78244057155802,7.30303002350283e-101,2.40269687773243e-98
"HWER_09462",6.05625045972982,8.57411345550572,8.50799746094577e-100,2.48811659080103e-97
"HWER_14981",4.58851005368221,6.65828723997211,2.62881252623424e-99,6.91903456904851e-97
"HWER_07686",-6.2620982873631,8.36272433700942,4.82882842173349e-99,1.15540694600023e-96
"HWER_11128",-4.62580873883361,5.99680182775913,2.14244590272412e-96,4.69909801330824e-94
"HWER_15617",-5.56624388578725,8.54329672115825,1.71098038133063e-94,3.46407720281708e-92
"HWER_02804",5.42389311722382,8.54357860228795,2.25466078206491e-94,4.23876227028202e-92
"HWER_04095",-4.61875971145541,6.31445907685651,1.20131038689247e-92,2.10789929220065e-90
"HWER_11608",4.88370734004828,8.33520713975938,5.04730533780671e-91,8.30281728069204e-89
"HWER_06261",-4.43726685020015,8.89106347418012,8.90403678865163e-90,1.37855440163124e-87
"HWER_07632",-4.43378268676682,8.26294370914342,1.30700817079095e-89,1.91113639195654e-87
"HWER_02156",-3.99402902544272,6.78575202204624,4.62025438541288e-85,6.40026818021405e-83
"HWER_15444",-4.74190456537893,6.32662631913653,3.56849942502888e-84,4.696145243338e-82
"HWER_10104",-6.06118037912259,8.87576706401401,4.59153793137013e-81,5.75472754065056e-79
"HWER_03878",-5.25145154393404,8.22639911094722,2.05372689398103e-80,2.45700417498094e-78
"HWER_03100",4.10230064928892,8.2773181997917,6.60402864447424e-80,7.55730582272009e-78
"HWER_15223",-4.46159106026026,8.60692216635139,1.67348512135115e-79,1.83525534974842e-77
"HWER_14019",-4.05267243239088,8.37184940992606,4.28375919863608e-78,4.50994168432406e-76
"HWER_13042",-3.85399596292457,6.37527848234266,4.33502996375037e-77,4.38838417868884e-75
"HWER_08495",6.55504481448307,8.29901676369467,5.25568147737207e-75,5.12331616609011e-73
"HWER_14701",-5.39883565702231,7.24688740488691,2.14593300087339e-74,2.01717702082099e-72
"HWER_10368",-3.61888466984035,7.2202771627441,4.02366703469862e-74,3.65182470183682e-72
"HWER_16005",-3.89923581488965,7.75626282363212,5.18039893269133e-73,4.54493666361452e-71
"HWER_08638",-3.98963630259023,7.09674675232852,7.2741451977769e-73,6.17598392275768e-71
"HWER_04818",-4.39172563234373,7.97768496130234,3.69850722676688e-72,3.04202219401576e-70
"HWER_03016",-3.51562112383724,6.731525868873,6.83856388674466e-71,5.45427277270059e-69
"HWER_09206",-3.931241106903,7.52210950338965,2.81157438707856e-69,2.17648934905611e-67
"HWER_03919",-3.69745356424306,6.97529112615521,7.26638283978979e-69,5.46431989552192e-67
"HWER_00193",-3.77036963907892,7.52725576090304,1.05815566566512e-68,7.73629364452944e-67
"HWER_14231",-3.55271980069703,6.71758855634444,2.96984848827383e-68,2.11260573544236e-66
"HWER_10814",-4.30899084514581,6.47641469974131,3.80752137545102e-67,2.6372095421545e-65
"HWER_09857",-3.71858494828324,7.66844908216465,4.73653937240246e-67,3.19655682773418e-65
"HWER_02462",-3.53145640026138,7.30572862624992,7.35157593332599e-67,4.8373369641285e-65
"HWER_13753",-3.98620201895815,6.28414282180066,7.86752333180398e-67,5.05056619739221e-65
"HWER_05112",-3.46475763949901,6.26327223910993,1.41151482165056e-65,8.84549288234349e-64
"HWER_04653",-5.99450644026867,6.31577281157335,4.02838018169801e-65,2.46574340423934e-63
"HWER_15647",-3.15858223501356,6.9615128919145,4.9206912817641e-64,2.94346805763707e-62
"HWER_03243",-3.6498434102072,6.64604771238201,5.36848728534015e-64,3.13996856333673e-62
"HWER_15532",-3.04135537327364,7.13922347403317,6.74596576359418e-64,3.85986562821302e-62
"HWER_02708",-3.08439101863142,7.45881608736303,8.38577629194709e-63,4.69603472349037e-61
"HWER_12147",-3.71093857732907,6.80902235605664,3.45844488160918e-62,1.89638061008237e-60
"HWER_11671",-4.59829460515169,6.09121628252458,7.19068136348657e-62,3.86242313238707e-60
"HWER_03524",-3.49134438424435,6.48092642956282,1.22037895454299e-61,6.42407481671431e-60
"HWER_05646",-2.9201886953165,7.06926511180477,1.32917151302192e-61,6.85956749465431e-60
"HWER_15005",-4.07532233870948,8.92739534237974,2.48438986103734e-61,1.25748348350967e-59
"HWER_08207",-4.27316794008166,6.73392731722214,3.87244567892536e-60,1.92307113715689e-58
"HWER_11823",-2.86203415590338,7.28106868673722,8.24204860496936e-60,4.01723554227395e-58
"HWER_13952",-4.15092030769199,6.62617613495164,6.56528462379851e-59,3.14178711451594e-57
"HWER_05305",-2.88547880322774,7.21203710806762,1.04229304894622e-58,4.89877733004723e-57
"HWER_03002",-7.01171393385622,9.40412885555301,1.55804002542398e-58,7.19431815248407e-57
"HWER_03814",-3.0598127991776,6.8666280263913,3.94104653531634e-58,1.78841973809528e-56
"HWER_10103",-3.49354514456175,7.14706627552829,7.91116299237663e-57,3.52918321965005e-55
"HWER_09925",3.97565515908047,7.82847453452731,9.18235002453188e-57,4.02799087742799e-55
"HWER_00435",-3.1164890171938,6.95598303682444,1.07737512350143e-56,4.64860872959963e-55
"HWER_02088",-3.40477476919596,7.02853439925795,2.29702176412928e-56,9.7512278761101e-55
"HWER_05375",-3.45298417357144,6.88546337647673,7.54309537987218e-56,3.15133762536882e-54
"HWER_05297",-3.15334762659833,6.93885427653075,3.02642218818266e-55,1.24461612489012e-53
"HWER_15406",-3.1245625579909,8.48438459712168,4.73635327707556e-55,1.91785874234814e-53
"HWER_10084",3.05320142361844,6.35348392509241,1.21885269888003e-54,4.8606368234125e-53
"HWER_05822",-3.337412555476,6.52704546354309,5.24157408613592e-54,2.0590780589119e-52
"HWER_08223",-4.92705451210918,6.59258176641875,1.14511491253858e-53,4.4322683085317e-52
"HWER_10521",-3.34055252003823,6.84230196332617,2.48029993722344e-53,9.46108613735087e-52
"HWER_11496",-3.87017944696094,7.88407754613196,1.98997204806379e-52,7.48229490071986e-51
"HWER_03877",-3.5411917294394,6.8580305886297,4.04195004724731e-52,1.49836796117675e-50
"HWER_05978",3.2653131740843,7.9299121852378,1.67856396413907e-51,6.13608382446392e-50
"HWER_01555",-3.18194968338439,6.64436820745162,9.44251722743518e-51,3.40448018391909e-49
"HWER_03917",-3.15944479395042,7.69106951792703,1.56187008159511e-50,5.55519196588962e-49
"HWER_15592",-3.57982351485185,6.96953667318357,1.60703949714491e-50,5.63963727531387e-49
"HWER_10841",-3.45508667938438,7.62436213917446,1.81089763294497e-50,6.27142443409363e-49
"HWER_03864",-3.05684197647433,7.60451031079017,4.71033966350377e-50,1.61007973952492e-48
"HWER_01784",-4.98390107119046,6.83163734444123,5.62231815514483e-50,1.89717197235144e-48
"HWER_07887",3.02702354821089,6.10398417900599,2.41460752810261e-49,8.04461647337478e-48
"HWER_03024",-3.7889984653615,6.23763203972582,3.32396522418897e-49,1.09358455875817e-47
"HWER_11877",-4.44323288279073,9.83978675789845,4.96910232594919e-49,1.61465152122201e-47
"HWER_01774",-2.81467735074917,6.88180828366479,5.89410196227695e-49,1.89186297130645e-47
"HWER_07732",-3.192853126102,8.32996321979434,1.30632621008075e-48,4.14247058425608e-47
"HWER_13913",-4.09792689414377,5.60726266376792,1.57303755887133e-48,4.92885101779683e-47
"HWER_12502",-3.45769809392378,6.57392911794004,2.54998681173246e-48,7.89595916291744e-47
"HWER_03912",-2.59971511465941,7.01094875489706,2.78199960413894e-48,8.51421274196939e-47
"HWER_08519",-3.16490584965791,8.3749454612192,5.78325481499907e-48,1.74960076702041e-46
"HWER_10791",-2.59817983929367,7.20593857494518,2.36027415074861e-47,7.05936541451175e-46
"HWER_16076",-2.69263340505693,6.8803784418216,3.75187991021622e-47,1.10954471052687e-45
"HWER_02195",-3.22464481036818,6.55260444772589,5.39471268654575e-47,1.57765375455427e-45
"HWER_16053",-2.6817666322952,7.56174914696466,7.26243224968542e-47,2.10051886606286e-45
"HWER_06154",-3.59170988076381,5.85635230452068,8.509718722811e-47,2.43451953026506e-45
"HWER_05122",-2.85208744958087,7.62943563462549,1.16946983177491e-46,3.30972537336726e-45
"HWER_03882",-3.38675577140066,6.86688992008095,4.06086445294262e-46,1.13704204682393e-44
"HWER_08193",2.8924758185251,7.63237820368309,5.80357906315862e-46,1.60789685202458e-44
"HWER_11769",3.03575623424484,6.63172680011715,7.56388226155687e-46,2.07376438671017e-44
"HWER_05484",-4.47000196456903,6.26628294050642,1.58888897097967e-45,4.31129460991598e-44
"HWER_10079",3.05776224254406,6.45075088367872,1.07258368384311e-44,2.8806533223215e-43
"HWER_00442",-3.04757684512369,8.88606450525486,2.02686887510911e-44,5.38860492857292e-43
"HWER_03980",-3.05285852282895,7.32858017935998,3.51550899170426e-44,9.25281966616562e-43
"HWER_05574",3.03774995105205,7.03167485367218,6.5573698464446e-44,1.70881162731111e-42
"HWER_14898",-2.59247565435433,7.70342856282583,7.63782943760587e-44,1.97085951762536e-42
"HWER_10977",-2.6469714142373,7.5853088829069,1.02885882917099e-43,2.62908392075537e-42
"HWER_04113",-2.63956830805212,7.74813590364026,1.09422449676806e-43,2.76922968797456e-42
"HWER_05007",-3.81626133083184,6.14323534021264,1.53686085378271e-43,3.852397873482e-42
"HWER_06379",-2.55774665031411,7.08529516191242,3.4497929840877e-43,8.56590106992343e-42
"HWER_04200",-2.76818532154215,7.02348322092847,4.05674897271486e-43,9.97884420204253e-42
"HWER_05770",-2.52251869046296,6.9866679425194,5.05484992507034e-43,1.23188564840603e-41
"HWER_04692",-2.95338386089345,7.54513246525563,6.69456366656087e-43,1.61652216242094e-41
"HWER_13437",-2.83662446315,8.0723473272858,1.50134710442257e-42,3.59231416258199e-41
"HWER_04806",-2.50457765294571,7.32941362791258,4.05233602768341e-42,9.6087823647412e-41
"HWER_02873",2.3709826747882,7.20249611137006,4.15169337011869e-42,9.75647941977893e-41
"HWER_06298",-2.31945902529429,7.04197259814529,1.35629420212604e-41,3.15908525663339e-40
"HWER_14511",-2.67555290342261,7.37277755738748,1.53956166108007e-41,3.55449674733574e-40
"HWER_06475",-2.61605849540001,6.7151200614516,2.29510358034217e-41,5.25279358561791e-40
"HWER_00777",-2.489988750504,7.54242098732617,6.84933529477018e-41,1.55409055998579e-39
"HWER_13418",-2.51263921943424,6.87213769407337,1.52769862047761e-40,3.43666903341629e-39
