"","logFC","logCPM","LR","PValue","FDR"
"HWER_07476",-15.8564482155752,6.62520313984118,973.026592217039,1.31036607755661e-213,3.44888351612899e-210
"HWER_13913",-8.61622712431467,5.60834744653034,794.205343563302,9.81588444326377e-175,1.29177039273351e-171
"HWER_11608",7.33530775065661,8.33490618460874,701.231183402048,1.61426773849772e-154,1.41625089590867e-151
"HWER_12698",5.55195332188801,6.98126726556052,680.947208899729,4.15853382100693e-150,2.73631525422256e-147
"HWER_11243",7.3813912034061,7.32180767195809,596.527617796768,9.52957245764297e-132,5.01636694170326e-129
"HWER_07632",-5.56270967840854,8.26310776142795,585.115094911612,2.89368876670516e-129,1.26936480566133e-126
"HWER_02804",6.44880648316078,8.54331621684171,572.74113119021,1.42249079793611e-126,5.34856540023976e-124
"HWER_03100",5.36863491882091,8.27702287679211,559.922730610679,8.73831536203056e-124,2.87490575410805e-121
"HWER_14701",-7.52038080578078,7.24722999291299,548.202138406607,3.0981270584692e-121,9.06030046432325e-119
"HWER_09235",-5.5552798255312,7.88315833529761,529.317593949563,3.97566829949116e-117,1.04639589642607e-114
"HWER_03428",-4.65196347684303,7.10039360289786,520.868329257103,2.73921211383196e-115,6.55418753055065e-113
"HWER_15444",-5.77238561131207,6.32724758533285,500.159877828788,8.77372701702304e-111,1.92437079240039e-108
"HWER_06261",-5.09936139443164,8.89116788102769,485.185060719778,1.59037126482704e-107,3.21989013001905e-105
"HWER_14981",4.87584695779907,6.65738017894114,473.732075177741,4.93910919807831e-105,9.28552529238722e-103
"HWER_03971",5.53202839787859,8.71781207282978,463.639094899029,7.76190051464171e-103,1.36195481030247e-100
"HWER_15406",-4.72787492427728,8.48451999966299,463.310432425396,9.15144236561961e-103,1.50541226914443e-100
"HWER_09925",5.43321175219183,7.82807486302997,452.399292440866,2.16753544709886e-100,3.35585488044953e-98
"HWER_03980",-5.09730184836213,7.32888435119929,450.702604841986,5.07235439626984e-100,7.41690931721235e-98
"HWER_02508",-4.93231870190709,6.83965224214952,449.826954380255,7.86638344398752e-100,1.0897011170829e-97
"HWER_05039",-7.51811963324229,8.80873008405648,441.821654627023,4.34496022565233e-98,5.71796765695846e-96
"HWER_08072",-5.19273077547666,8.92372294138829,422.883178102848,5.75298847373206e-94,7.21041222041084e-92
"HWER_15592",-5.32994252938957,6.96993735935278,421.430443814783,1.19150124235253e-93,1.42546875903266e-91
"HWER_10368",-4.09893894313659,7.22058853015953,399.778589673819,6.15365196468024e-89,7.04191824827756e-87
"HWER_03524",-4.28389855437009,6.48145201162906,382.098059249404,4.34694398773264e-85,4.76714857321346e-83
"HWER_08207",-5.3402997073968,6.73439037032685,376.003634624053,9.22666487982516e-84,9.71383278547993e-82
"HWER_13437",-4.34580234146044,8.07252253011175,374.28280055877,2.18630104142136e-83,2.21320936193116e-81
"HWER_08019",-4.23955370477428,6.03900901617149,370.343542941746,1.57541237148123e-82,1.53573531916244e-80
"HWER_12912",-5.29134122177886,5.90762403220859,364.373686422825,3.14225953068205e-81,2.95372395884112e-79
"HWER_15254",4.46579756818838,6.27349011884432,361.907383624706,1.0820807440205e-80,9.82081558021361e-79
"HWER_16053",-3.67598672443068,7.5619862241405,347.277779236182,1.65938923381358e-77,1.45583748779911e-75
"HWER_07686",-5.38564103898428,8.36287341076746,347.085605596304,1.82724910334957e-77,1.55139343226325e-75
"HWER_15531",-6.10801246233158,6.25882882153654,344.012237327905,8.53279933902393e-77,7.01822745634718e-75
"HWER_14231",-3.83806547447507,6.71802313263585,339.567826430922,7.92483973911077e-76,6.32066005858774e-74
"HWER_07852",-6.25892563333732,6.34894941147646,333.503091276213,1.65890459521442e-74,1.28418732194246e-72
"HWER_14898",-3.50363973307509,7.70363912252862,329.106321257499,1.50463987930122e-73,1.13148918923452e-71
"HWER_05375",-4.14468049270905,6.88586090343277,328.026119652805,2.58645534220481e-73,1.89098623907863e-71
"HWER_09206",-4.09138062439627,7.52236118758015,326.31435405126,6.10294483888433e-73,4.34133805836312e-71
"HWER_06798",-4.21824601785093,6.08906852160183,326.138310244197,6.6662768309952e-73,4.61727384715246e-71
"HWER_10977",-3.57479769391196,7.58553918496892,322.136980751557,4.95935651447788e-72,3.34692983233482e-70
"HWER_10521",-4.06292164310098,6.84270396579988,319.56527329925,1.80133432937426e-71,1.18527798872826e-69
"HWER_11496",-4.73156577865297,7.8842823182207,318.614798260088,2.90155083704921e-71,1.86265409832037e-69
"HWER_15647",-3.31811362972758,6.96186246732378,311.274108692487,1.15257845365714e-69,7.22282497625142e-68
"HWER_08495",6.22038696419717,8.29870013974697,307.827414066555,6.49401371680944e-69,3.97494048898661e-67
"HWER_08139",-5.97902171312784,8.11667663521446,304.959285385272,2.73740521583698e-68,1.63746602910976e-66
"HWER_08887",4.64148716019728,7.88082494345752,304.803929907729,2.95926623612507e-68,1.73084194077359e-66
"HWER_03949",3.01019025208258,7.20797427907189,304.079274207169,4.25651879187561e-68,2.43546901309057e-66
"HWER_03016",-3.47783621501008,6.73194811760444,303.187049583966,6.6593619676618e-68,3.72924270189061e-66
"HWER_07665",-4.9832810076,6.87203976833093,300.260883071893,2.8902393992964e-67,1.58481460394753e-65
"HWER_10103",-3.81485997171558,7.14738758680621,288.465908579985,1.07355415194014e-64,5.76651944470703e-63
"HWER_08766",-2.97661362076801,7.20951984692926,288.082697384725,1.30113961828047e-64,6.84919895062841e-63
"HWER_15223",-3.92557635066827,8.60704422855302,287.2073420762,2.01865077391773e-64,1.04178212489245e-62
"HWER_08156",-4.49724490680474,7.82083088160223,283.227015312187,1.48726278548562e-63,7.52783779115031e-62
"HWER_05978",3.77722817805824,7.92958483106233,280.598049023215,5.56251741261211e-63,2.76236713773492e-61
"HWER_03162",-3.72675585256058,8.46003928356859,279.439016426152,9.95049321139468e-63,4.84994409859089e-61
"HWER_01784",-5.81718434520615,6.83207533572776,278.24634483907,1.81030685062722e-62,8.66314114700153e-61
"HWER_03633",-3.77182652246021,7.94935644115118,277.634436639102,2.46094019541411e-62,1.15664189184463e-60
"HWER_07346",-3.91454969076404,8.87944520298251,275.439241671168,7.40445507969903e-62,3.4190396087312e-60
"HWER_10140",-4.0801352719871,7.39401011645567,271.532086671436,5.26018568731256e-61,2.38703598775977e-59
"HWER_04818",-4.00328685797024,7.97787484101515,271.463055864958,5.44559998891928e-61,2.42929138488738e-59
"HWER_03877",-3.92494569646935,6.85842732274017,267.222213934204,4.57432501234571e-60,2.00660390541565e-58
"HWER_13732",3.34338950587101,8.54491816939772,263.881783569102,2.44570253163645e-59,1.05526050217494e-57
"HWER_01834",3.21345101998766,6.47796092712643,262.869223964043,4.0654326349108e-59,1.72584172501375e-57
"HWER_02205",-3.40833978337919,6.87374684145523,259.793122955078,1.90375240151425e-58,7.95345447743731e-57
"HWER_05346",3.28309206415874,7.05677886139177,257.3307107634,6.55192319084363e-58,2.69447841223444e-56
"HWER_00777",-3.06855863022556,7.54264643720036,255.910210946215,1.33665468642318e-57,5.41242328410123e-56
"HWER_07311",-3.99193864227547,6.34673253553237,245.206116568534,2.88130543616029e-55,1.14902968302635e-53
"HWER_02195",-3.54382105103508,6.55308050963266,244.059590206156,5.12346637648045e-55,2.01268111983531e-53
"HWER_03939",-2.83190084182432,7.15670408080336,242.624918715488,1.05285550298738e-54,4.07517012332763e-53
"HWER_04912",5.2921156158053,6.02001241938539,240.185390145311,3.58329251615919e-54,1.36684433370014e-52
"HWER_03919",-3.20256886718515,6.97564145405559,240.096570085477,3.74670028638697e-54,1.4087593076815e-52
"HWER_08193",3.22169490891707,7.63201117718762,238.013549678391,1.06622218815561e-53,3.9525307031346e-52
"HWER_04340",-3.66892600014346,6.24808154999628,236.715552521204,2.04588802796818e-53,7.38054327626367e-52
"HWER_04692",-3.40954188841132,7.54536615610337,236.714436091465,2.04703517920687e-53,7.38054327626367e-52
"HWER_05300",3.45485778779714,6.4583108067194,234.528361058721,6.13512487214682e-53,2.18211468425546e-51
"HWER_12900",3.15135382027385,6.38416911475537,230.830551578634,3.92838935676746e-52,1.3786027716016e-50
"HWER_13429",-9.77625931870196,6.57972985295823,228.004377438076,1.62391265596748e-51,5.62386593487686e-50
"HWER_15277",2.92922510703869,7.37195665683086,227.691104171607,1.90057533099708e-51,6.49651204049912e-50
"HWER_11823",-2.5863220908857,7.28132671910011,224.816342679149,8.05131538072337e-51,2.71680283103383e-49
"HWER_02156",-2.93695051151085,6.78615220512118,223.622644211084,1.46629424005711e-50,4.88517270864597e-49
"HWER_11843",-2.72452657130977,6.92452031939114,220.879968838808,5.81355320952738e-50,1.91265900593451e-48
"HWER_03594",-2.59859188187404,7.03180936174603,219.676690182798,1.06391256168169e-49,3.4570590893163e-48
"HWER_11186",4.21461731673163,9.67568415649122,217.197383355194,3.69592543063621e-49,1.18630191871152e-47
"HWER_02969",-3.48271431062931,6.47322441729256,215.589039238073,8.29029643899003e-49,2.62892291896648e-47
"HWER_01147",-2.61042582000736,7.74974817404418,215.190152074438,1.01294484623973e-48,3.17389385155116e-47
"HWER_10309",3.14135022438528,6.33198669667164,215.0319499062,1.09672365739275e-48,3.39597254853848e-47
"HWER_03864",-2.98233842072674,7.60472577899406,213.72662275883,2.11278608720319e-48,6.46610811804511e-47
"HWER_00864",-2.49218726019349,7.10813171100548,212.834713925179,3.30697436217948e-48,1.00045477255821e-46
"HWER_10841",-3.37604108761993,7.62458443133819,210.742523254514,9.45953107892542e-48,2.82925974996951e-46
